productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
83428,Fruta y Verdura,Verdura,ES,Cebollino,83428,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,RESTO VERDURAS,Hierbas aromÃ¡ticas,false,true,Reducido,10.0,Keines,F&V/Plantas y Flores
5703118,Surtido seco,Cervezas / Derivados,ES,"Moritz Cerveza A5,4% P12,8%",5703118,BEBIDAS,CERVEZA,CERVEZA,CON ALCOHOL,"Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
5703901,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Proceli Pan molde sandwich s/gluten,5703901,ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN MOLDE FRESCO,PAN MOLDE FRESCO,"Pan de molde, pan, panecillos, baguettes",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5708924,Surtido seco,Cosmetic,ES,L'Oreal Stylista Serum pelo liso,5708924,"","","","",Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
3843,Surtido seco,Sopas/Salsas,ES,Knorr salsa boloÃ±esa,"","","","","",Productos deshidratados,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
5907,Nevera,Embutidos (Nevera),ES,Navidul jamÃ³n curado,5702931,FRESCOS PERECEDEROS,CHARCUTERIA,FIAMBRE Y EMBUTIDOS,JAMON,JamÃ³n curado (lonchas),false,false,Reducido,10.0,Keines,Fresco
5931,Fruta y Verdura,Fruta,ES,Manzana Blancanieves,"","","","","",Frutas de pepita,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5980,Surtido seco,Bebidas sin alcohol,ES,ARIZONA TE VERDE CON GINSENG Y MIEL,"","","","","","NÃ©ctares, bebidas de zumos de fruta, otros",false,false,Reducido,10.0,Keines,Bebidas
7580,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bimbo Pan de horno surt. I,"","","","","","Pan de molde, pan, panecillos, baguettes",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
8934,Carne,Ave Fresco,ES,Cuarto trasero de pollo,5700440,FRESCOS PERECEDEROS,CARNE FRESCA,AVE,POLLO,Pollo,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
