productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
8498,Surtido seco,CafÃ©/TÃ©/Cacao,ES,Jacobs KrÃ¶nung cafÃ©,29663,ALIMENTACION SECA,CAFES/SUCEDANEOS,CAFE TOSTADO,CAFE MOLIDO,CafÃ© tostado,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
83346,Fruta y Verdura,Verdura,ES,Cebolla roja unidad,83346,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,CEBOLLA,Patatas/cebollas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5703434,Carne,Carne Fresca,ES,Estofado de vacuno,5703434,FRESCOS PERECEDEROS,CARNE FRESCA,VACUNO,VACUNO,Carne de vacuno,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5707131,Surtido seco,Cosmetic,ES,Inecto Aceite capilar Argan,5707131,PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,ACONDICIONADOR Y TRATAMENTO,ACONDICIONADOR Y TRATAMENTO,Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
5709054,Surtido seco,Golosinas,ES,Fini Caribe,"","","","","","Golosinas, regaliz",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5800597,Nevera,Mopro (nev),ES,Del Pino Ensaimada de nata,5800597,"","","","",Postres y aperitivos,false,false,Reducido,10.0,Keines,Fresco
723,Fruta y Verdura,Fruta,ES,PiÃ±a,"","","","","",Frutas exÃ³ticas,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
82272,Fruta y Verdura,Verdura,ES,Rabanitos,82272,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,RESTO VERDURAS,Verduras (FeingemÃ¼se),false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5703194,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Florette picatostes ajo-hierbas,5703194,ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN TOSTADO,"BISCOTES,PICATOSTES","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5703630,Surtido seco,Vinos / Cavas,ES,Supernova Tinto DO Ribera del Duero,5703630,BEBIDAS,TOTAL VINOS,TINTO,CON DENOMINACION,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5705285,Carne,Carne Fresca,ES,MedallÃ³n de cadera,5705285,FRESCOS PERECEDEROS,CARNE FRESCA,VACUNO,VACUNO,Carne de vacuno,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5707447,Surtido seco,BollerÃ­a / Chips,ES,Snatt's Mini palitos espelt,5707447,ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN TOSTADO,"PALITO, PICO, PICOLIN","Aperitivos salados, patatas fritas, productos extrusionados",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5707906,Surtido seco,Cosmetic,ES,Sanex Gel de ducha Zero %,5707906,PERFUMERIA E HIGIENE,PROD.CORPORALES PERSO.,GEL DE BANO Y DUCHA,GEL DE BANO Y DUCHA,"Geles de ducha, productos de baÃ±o, jabones",false,false,Ordinario,21.0,Keines,Surtido NF
5709025,Surtido seco,Vinos / Cavas,ES,MarquÃ©s de Toledo Vino tempranillo,"","","","","",Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
4587,Nevera,Mopro (nev),ES,ROYAL TEMPTATIONS GALLETA MARIA,"","","","","",Postres y aperitivos,false,true,Reducido,10.0,Keines,Fresco
5758,Surtido seco,Golosinas,ES,Mars Barrita,"","","","","",Tabletas de chocolate (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
7113,Surtido seco,Cervezas / Derivados,ES,Hoegaarden Cerveza belga,5703287,BEBIDAS,CERVEZA,CERVEZA,CON ALCOHOL,"Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
7559,Congelado,Congelados,ES,FINDUS ESPINACAS AL AJILLO,"","","","","","Fruta, verdura",false,true,Reducido,10.0,Keines,Congelados
7941,Surtido seco,Art. Hogar / medias,ES,BRIQUETAS DE MADERA,"","","","","",Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
9398,Surtido seco,Desayuno,ES,Nocilla dÃºo,"","","","","","Crema de cacao con avellanas, otros productos para untar",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
5703635,Surtido seco,Vinos / Cavas,ES,Cinglano Vino tinto Jumilla Crianza,5703635,BEBIDAS,TOTAL VINOS,TINTO,MESA,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5705660,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bizcocho de chocolate,5705660,ALIMENTACION SECA,PASTEL.BOLLER.IND.,REST.PAST.BOLL.IND,REST.PAST.BOLL.IND,"Pasteles, tartas, reposterÃ­a, otros",false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5707309,Surtido seco,CafÃ©/TÃ©/Cacao,ES,Tierras del CafÃ© Descafeinado,5707309,ALIMENTACION SECA,CAFES/SUCEDANEOS,CAFE TOSTADO,CAFE CAPSULAS,CafÃ© tostado,false,false,Reducido,10.0,Keines,AlimentaciÃ³n
1187,Surtido seco,Cosmetic,ES,NIVEA SUN SPRAY INVISIBLE FACTOR PR,"","","","","","Cremas, lociones, leche corporal, maquillaje",false,false,Ordinario,21.0,Keines,Surtido NF
9255,Surtido seco,Cosmetic,ES,Oral-B Proexpert dentÃ­frico,"","","","","","Higiene bucal, afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
5703213,Surtido seco,Cervezas / Derivados,ES,"Estrella Damm Inedit 4,8% Vol.11,3P",5703213,BEBIDAS,CERVEZA,CERVEZA,CON ALCOHOL,"Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
5705594,Surtido seco,Cosmetic,ES,Nivea FPS 20 Spray pistola solar,5705594,PERFUMERIA E HIGIENE,PROD.CORPORALES PERSO.,SOLARES,SOLARES,Productos solares,false,false,Ordinario,21.0,Keines,Surtido NF
5706023,Frischbrot / Hot Convenience,Bake off,ES,Empanada de carne grande,5706023,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,Otros,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5706127,Surtido seco,Embutidos,ES,Villar Taco lomito de presa ibÃ©rico,5706127,FRESCOS PERECEDEROS,CHARCUTERIA,FIAMBRE Y EMBUTIDOS,LOMO,Salami,true,false,Reducido,10.0,Keines,AlimentaciÃ³n
5707127,Surtido seco,Licores,ES,JÃ¤germeister 35% vol.,5707127,BEBIDAS,ALCOHOLICAS ALTA GRAD.,OTRAS ALC.ALTA GRA,OTRAS ALC.ALTA GRA,Bebidas espirituosas blancas,false,false,Ordinario,21.0,18,Bebidas
954,Congelado,Congelados,ES,Cubitos de hielo,"",CONGELADOS,OTROS CONGELADOS,CUBITOS HIELO,CUBITOS HIELO,Helados,false,true,Reducido,10.0,Keines,Congelados
1019,Surtido seco,Golosinas,ES,DAMEL PALOTES CARAMELOS BLANDOS,"",ALIMENTACION SECA,"CHICLES, CARAMELO, GOLOSI",CARAMELOS,CARAMELOS,"Golosinas, regaliz",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4626,Surtido seco,Bebidas sin alcohol,ES,Don SimÃ³n NÃ©ctar con azÃºcar mango,"","","","","","NÃ©ctares, bebidas de zumos de fruta, otros",false,false,Reducido,10.0,Keines,Bebidas
5364,Nevera,Delicatesen (nev),ES,KING ARTIK/LA GULA DEL NORTE LANGOS,"","","","","",Delicatessen de pescado,false,true,Reducido,10.0,Keines,Fresco
129887,Surtido seco,Golosinas,ES,Trolli Bolsa tarÃ¡ntula,129887,"","","","","Golosinas, regaliz",false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5704383,Surtido seco,Vinos / Cavas,ES,Laderas de Aragonia vino tinto D.O.,5704383,BEBIDAS,TOTAL VINOS,TINTO,CON DENOMINACION,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
6306,Nevera,Delicatesen (nev),ES,CILANTRO,"","","","","",Ensaladas delicatessen y productos vegetales para untar,false,true,Cero,0.0,Keines,Fresco
7166,Fruta y Verdura,Verdura,ES,TOMATE CHERRY TRIMIX,"","","","","",Tomates,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
80451,Fruta y Verdura,Fruta,ES,Platerina 500 g,80451,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,RESTO FRUTAS,Frutas de hueso,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
82878,Fruta y Verdura,Verdura,ES,Coliflores de colores,82878,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,RESTO VERDURAS,Variedades de col,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5707173,Surtido seco,Cosmetic,ES,Garnier Original Remedies champÃº,5707173,PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,CHAMPU,CHAMPU,Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
1595,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,Cero,0.0,Keines,F&V/Plantas y Flores
1945,Surtido seco,Bebidas sin alcohol,ES,FANTA NARANJA 10+2 LATAS GRATIS,"","","","","","Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
3069,Surtido seco,CafÃ©/TÃ©/Cacao,ES,Valor Cacao en polvo a la taza,"",ALIMENTACION SECA,CACAO,CACAO,CACAO/CHOCO A LA TAZA,Bebidas a base de cacao,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
5177,Congelado,Congelados,ES,TARTA DE GALLETA,"","","","","",Helados,false,true,Reducido,10.0,Keines,Congelados
5390,Surtido seco,Cervezas / Derivados,ES,TIMISOREANA CERVEZA RUMANA,"","","","","","Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
7786,Surtido seco,Vinos / Cavas,ES,Berberana Carta de Plata Tinto,5703544,"","","","",Vino tinto de Europa,false,true,Ordinario,21.0,18,Bebidas
8263,Surtido seco,Golosinas,ES,Ausome Bolsa Party Cumple,5700407,"","","","",Otros productos dulces,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
48641,Fruta y Verdura,Fruta,ES,.,"","","","","",CÃ­tricos,false,false,Ordinario,21.0,Keines,F&V/Plantas y Flores
80538,Fruta y Verdura,Fruta,ES,SandÃ­a mini,80538,"","","","",Melones,false,true,Cero,0.0,Keines,F&V/Plantas y Flores
80920,Fruta y Verdura,Fruta,ES,CastaÃ±a gigante 500 g,80920,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,RESTO FRUTAS,Frutos secos/fruta deshidratada,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
83289,Fruta y Verdura,Verdura,ES,Patata rosÃ©,83289,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,PATATA,Patatas/cebollas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5800369,Congelado,Congelados,ES,Kalise Sumo pasiÃ³n,5800369,CONGELADOS,HELADOS Y POSTRES,HELADOS,RESTO HELADOS,Helados,false,true,Reducido,10.0,Keines,Congelados
942,Surtido seco,Art. Hogar / medias,ES,Bolsa stikeez,"",ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
1412,Surtido seco,CafÃ©/TÃ©/Cacao,ES,TÃ‰ ROOIBOS SURTIDO,"","","","","",TÃ©,false,false,Reducido,10.0,Keines,AlimentaciÃ³n
4538,Surtido seco,Cons. Pescado,ES,Calvo AtÃºn claro en aceite de oliva,"","","","","",Conservas de pescado,false,true,Reducido,10.0,Keines,Conservas
6068,Surtido seco,Delicatessen/Especias/Mostaza,ES,CARDINI'S SALSA CESAR,"","","","","","Mostaza, salsa de rÃ¡bano picante, vinagre, salsas para ensalada, salsas para carne, otras salsas, otros",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
7992,Surtido seco,Bebidas sin alcohol,ES,LA CASERA GASEOSA,"","","","","","Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
54842,Surtido seco,Golosinas,ES,Mini barritas caramelo,54842,"","","","",Barritas (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5704519,Surtido seco,Delicatessen/Especias/Mostaza,ES,Chovi Mayonesa con ajo (ajonesa),5704519,ALIMENTACION SECA,SALSAS,MAYONESA,MAYONESA,"Mostaza, salsa de rÃ¡bano picante, vinagre, salsas para ensalada, salsas para carne, otras salsas, otros",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
5706700,Surtido seco,Golosinas,ES,Nutella B-Ready T6,5706700,ALIMENTACION SECA,CHOCOLATES Y CREMAS,CREMAS UNTAR,CREMA CACAO UNTAR,Otros productos a base de chocolate,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
1851,Fruta y Verdura,Fruta,ES,SandÃ­a negra box,"",FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,SANDIA,Melones,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
2301,Fruta y Verdura,Verdura,ES,Cebolla dulce,"","","","","",Patatas/cebollas,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
3149,Congelado,Congelados,ES,Almeja del PacÃ­fico,5702774,CONGELADOS,PESCADOS Y MARISCOS CONG.,MARISCO CONGELADO,RESTO MARISCO CONG.,Pescado,true,true,Reducido,10.0,Keines,Congelados
5206,Nevera,Delicatesen (nev),ES,GALLO RAVIOLI TERNERA GALLEGA + MAC,"",ALIMENTACION SECA,PASTAS ALIMENTICIAS,PASTA FRESCA,PASTA FRESCA,"Platos preparados, comida rÃ¡pida",false,true,Reducido,10.0,Keines,Fresco
7332,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bimbo Bimbocao,"",ALIMENTACION SECA,PASTEL.BOLLER.IND.,REST.PAST.BOLL.IND,REST.PAST.BOLL.IND,"Pasteles, tartas, reposterÃ­a, otros",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
8741,Surtido seco,Cervezas / Derivados,ES,Guiness Cerveza lata+vaso gratis,"","","","","","Cerveza, combinados de cerveza",false,true,Ordinario,21.0,18,Bebidas
8802,Surtido seco,Alim.BÃ¡sica/Desayuno/Bio,ES,Dr. Oetker Bizcocho,"","","","","","Ingredientes y productos de panaderÃ­a y pastelerÃ­a, productos alimenticios, otros",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
83345,Fruta y Verdura,Verdura,ES,Cebolla roja guayonje granel,83345,"","","","",Patatas/cebollas,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
29029,Congelado,Congelados,ES,Fruta congelada SK49,139096,CONGELADOS,OTROS CONGELADOS,FRUTA CONGELADA,FRUTA CONGELADA,"Fruta, verdura",false,true,Superreducido,4.0,Keines,Congelados
5705023,Surtido seco,Vinos / Cavas,ES,Doblez Vino blanco ecolÃ³gico IGP,5705023,BEBIDAS,TOTAL VINOS,BLANCO,MESA,Vino blanco de Europa,false,false,Ordinario,21.0,18,Bebidas
7092,Surtido seco,BollerÃ­a / Chips,ES,Samai Chifles dulces,5703350,ALIMENTACION SECA,PATATAS Y SNACKS,SNACKS,SNACKS,"Aperitivos salados, patatas fritas, productos extrusionados",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
8468,Surtido seco,Papel / Folios / Higiene,ES,Moltex paÃ±al ecolÃ³gico Bio Baby tal,"",PRODUCTOS PARA BEBE,PANALES BEBE,PANALES BEBE,PANALES BEBE,Productos de higiene para adultos y niÃ±os,false,true,Ordinario,21.0,Keines,Surtido NF
9395,Surtido seco,Conservas carne / Platos preparados,ES,ISABEL ENSALADA RUSA NATURFRESH,"",CONSERVAS,P.P.CONS.Y LEG.COCI,PLATOS PREP.CONSERV.,BASE PASTA/ARROZ,Platos preparados,false,false,Reducido,10.0,Keines,Conservas
9653,Surtido seco,Art. Limpieza,ES,Wipp Express Gel frescor 29 WL,"","","","","","Detergentes en polvo, lÃ­quido y en pastillas / suavizante",false,false,Ordinario,21.0,Keines,Surtido NF
9872,Surtido seco,Art. Limpieza,ES,Somat Ambientador de lavavajillas,"","","","","",Productos de limpieza y lavavajillas,false,true,Ordinario,21.0,Keines,Surtido NF
80631,Fruta y Verdura,Fruta,ES,Chirimoya,80631,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,RESTO FRUTAS,Frutas exÃ³ticas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5703877,Surtido seco,Golosinas,ES,Conguitos Cacahuetes cubiertos,5703877,ALIMENTACION SECA,CHOCOLATES Y CREMAS,CHOCOLATINAS&SNACKS,CHOCOLATINAS&SNACKS,Otros productos a base de chocolate,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5705300,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Mini chapata con pasas,5705300,ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN TOSTADO,"BISCOTES,PICATOSTES","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5705658,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Magdalenas de la abuela,5705658,ALIMENTACION SECA,PASTEL.BOLLER.IND.,MAGDALENAS,MAGDALENAS,"Croissants, bollos, magdalenas",false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5706130,Nevera,Embutidos (Nevera),ES,Torre de NÃºÃ±ez Chicharrones,5706130,FRESCOS PERECEDEROS,CHARCUTERIA,FIAMBRE Y EMBUTIDOS,RESTO FIAM/EMBUTI,Embutidos / salchichas cocidos (lonchas),false,false,Reducido,10.0,Keines,Fresco
252,Surtido seco,Bebidas sin alcohol,ES,SCHWEPPES SPIRIT NARANJA-POMELO,"",BEBIDAS,BEBIDAS REFRESCANTES,REFRESCO CON GAS,RESTO REFR.CON GAS,"NÃ©ctares, bebidas de zumos de fruta, otros",false,false,Reducido,10.0,Keines,Bebidas
393,Surtido seco,Art. Hogar / medias,ES,OUST ELÃ‰CTRICO RECAMBIO FRESCOR VER,"",ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
1959,Carne,Ave Fresco,ES,Jamoncitos de pollo,5700429,FRESCOS PERECEDEROS,CARNE FRESCA,AVE,POLLO,Pollo,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
1984,Fruta y Verdura,Verdura,ES,ENSALADA FRESCA VARIADA,"","","","","",Lechuga,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
2120,Surtido seco,Cosmetic,ES,Vasenol bodylotion,"","","","","","Cremas, lociones, leche corporal, maquillaje",false,false,Ordinario,21.0,Keines,Surtido NF
4931,Frischbrot / Hot Convenience,Bake off,ES,Croissant margarina,5702732,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,Otros,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
8637,Carne,Ave Fresco,ES,AlbÃ³ndigas de ave,5702580,FRESCOS PERECEDEROS,CARNE FRESCA,AVE,POLLO,Pollo,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
11382,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,Cero,0.0,Keines,F&V/Plantas y Flores
5703605,Surtido seco,Cosmetic,ES,Revlon Colorsilk negro,5703605,PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,COLORACION,COLORACION,Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
5705009,Frischbrot / Hot Convenience,Bake off,ES,Flauta de cereales,5705009,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,"Baguette, panecillos, brezel",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5707204,Surtido seco,Conservas F&V,ES,La sabrosita Aceitunas verdes,5707204,CONSERVAS,ACEITUNAS,ACEITUNAS,ACEITUNAS,Conservas en vinagre,false,false,Reducido,10.0,Keines,Conservas
5801036,Surtido seco,Licores,ES,Aldea Licor de plÃ¡tano A22%,5801036,"","","","",Bebidas espirituosas oscuras,false,false,Ordinario,21.0,18,Bebidas
5801072,Carne,Carne Fresca,ES,HÃ­gado de aÃ±ojo,5801072,"","","","",Carne de vacuno,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
2246,Frischbrot / Hot Convenience,Bake off,ES,BAGUETTE INTEGRAL,"",FRESCOS PERECEDEROS,PAN FRESCO,PAN FRESCO,PAN FRESCO,"Baguette, panecillos, brezel",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
3764,Surtido seco,Mopro,ES,Puleva batido vainilla,5704550,LECHES Y BATIDOS,BATIDOS,BATIDOS,BATIDOS,Yogures para beber / bebidas,false,false,Reducido,10.0,Keines,AlimentaciÃ³n
4534,Surtido seco,Cosmetic,ES,H&S CHAMPU CITRUS,"",PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,CHAMPU,CHAMPU,"Geles de ducha, productos de baÃ±o, jabones",false,false,Ordinario,21.0,Keines,Surtido NF
6684,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,Cero,0.0,Keines,F&V/Plantas y Flores
7469,Surtido seco,Conservas carne / Platos preparados,ES,Maggi Pasta Oriental,"",ALIMENTACION SECA,"SOPAS,CALDOS,PURE,P",PLATOS PREP. DESHIDRAT.,PLATOS PREP. DESHIDRAT.,Platos preparados,false,true,Reducido,10.0,Keines,Conservas
80387,Fruta y Verdura,Fruta,ES,Nectarina,80387,"","","","",Frutas de hueso,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5600245,Surtido seco,Vinos / Cavas,ES,ChÃ¢teau Chauvelet vino tinto de Bur,5600245,"","","","",Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5704756,Carne,Pescado Fresco,ES,Sushi Lunch Kyoto Sushi,5704756,PLATOS COCINADOS,RESTO PLATOS COCIN,RESTO PLATOS COCIN,RESTO PLATOS COCIN,Pescado fresco,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5705049,Surtido seco,Golosinas,ES,Valor Chocolate negro 70% mousse,5705049,ALIMENTACION SECA,CHOCOLATES Y CREMAS,TABLETAS CHOCOLATE,TABLETAS CHOCOLATE,Tabletas de chocolate (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5705276,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Panecillos Hot Dog sÃ©samo,5705276,ALIMENTACION SECA,PANADERIA INDUSTRIAL,BOLLERIA SALADA,BOLLERIA SALADA,"Pan de molde, pan, panecillos, baguettes",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5707663,Surtido seco,Vinos / Cavas,ES,Pere Seda Vino tinto Display,5707663,BEBIDAS,TOTAL VINOS,TINTO,MESA,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5706449,Surtido seco,Conservas F&V,ES,Campo Rico Espinacas con garbanzos,5706449,CONSERVAS,P.P.CONS.Y LEG.COCI,PLATOS PREP.CONSERV.,BASE LEGUMBRE/VERDURA,Conservas vegetales,false,false,Reducido,10.0,Keines,Conservas
5707347,Surtido seco,Cervezas / Derivados,ES,"Heineken Cerveza de barril 5% P11,4",5707347,BEBIDAS,CERVEZA,CERVEZA,CON ALCOHOL,"Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
5707539,Surtido seco,BollerÃ­a / Chips,ES,Frit Ravich Anacardos sin sal,5707539,ALIMENTACION SECA,FRUTOS SECOS&DESHIDRAT.,FRUTOS SECOS,RESTO FTO.SECO,"Frutos secos, fruta deshidratada",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
1067,Surtido seco,Golosinas,ES,Orbit chicles sabores afrutados,"",ALIMENTACION SECA,"CHICLES, CARAMELO, GOLOSI",CHICLES,CHICLES,Otros productos dulces,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
1642,Surtido seco,Golosinas,ES,HARIBO OSITOS DE ORO,"","","","","","Golosinas, regaliz",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4802,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,Cero,0.0,Keines,F&V/Plantas y Flores
9090,Surtido seco,Bebidas sin alcohol,ES,Naturandina Golden Cola,"","","","","","Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
81722,Fruta y Verdura,Fruta,ES,Kiwi Gold ecolÃ³gico 500g,81722,"","","","",Frutas exÃ³ticas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5603599,Surtido seco,Vinos / Cavas,ES,CorbiÃ¨res AOP ch Villenouvette 2014,5603599,BEBIDAS,TOTAL VINOS,VINOS,VINO EXTRANJERO,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5707690,Carne,Carne Fresca,ES,El Pozo Fiambre de lomo adobado,5707690,FRESCOS PERECEDEROS,CARNE FRESCA,CERDO,CERDO,Cerdo,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
994,Fruta y Verdura,Fruta,ES,CIRUELA ROJA CESTA,"","","","","",Frutas de hueso,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
1302,Surtido seco,Bebidas sin alcohol,ES,Coca Cola Zero 2L,"",BEBIDAS,BEBIDAS REFRESCANTES,REFRESCO CON GAS,COLAS,"Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
7217,Surtido seco,Art. Limpieza,ES,Brise Vela aromÃ¡tica,"","","","","","Aerosoles, ambientadores",false,false,Ordinario,21.0,Keines,Surtido NF
82411,Fruta y Verdura,Verdura,ES,Tomate Cherry,82411,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,TOMATE,Tomates,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
3358,Surtido seco,Art. Limpieza,ES,Somat Gel LimÃ³n,"","","","","",Productos de limpieza y lavavajillas,false,false,Ordinario,21.0,Keines,Surtido NF
5315,Surtido seco,Delicatessen/Especias/Mostaza,ES,BLUE DRAGON WASABI,"","","","","","Mostaza, salsa de rÃ¡bano picante, vinagre, salsas para ensalada, salsas para carne, otras salsas, otros",false,true,Reducido,10.0,Keines,AlimentaciÃ³n
8489,Nevera,Queso (nev),ES,GRAN CAPITAN QUESO SEMICURADO LONCH,"","","","","",Queso de pasta dura y semidura (lonchas),false,false,Superreducido,4.0,Keines,Fresco
